noise_pref,noise_boosted1,noise_boosted2,noise_averse
0.173185639107,0.177246451447,0.316067074346,0.3335008351
0.134906415721,0.207038287005,0.304843495021,0.353211802253
0.151878986643,0.191903380348,0.311744952348,0.34447268066
0.198920019645,0.200440395355,0.270020661086,0.330618923915
0.180068441321,0.2143544099,0.268218067018,0.337359081761
0.151359068889,0.186800344512,0.32038422831,0.341456358288
0.167814395304,0.220386826349,0.286469755459,0.325329022888
0.141653179704,0.24368852438,0.307991836777,0.306666459139
0.140628398295,0.140628398295,0.578114805116,0.140628398295
0.224075498824,0.250441987503,0.297194467187,0.228288046485
0.129714282596,0.187961566128,0.312280525572,0.370043625704
0.244345984575,0.246246178035,0.263895235984,0.245512601405
0.25,0.25,0.25,0.25
0.197218621506,0.21214663129,0.269891485356,0.320743261849
0.240470779107,0.250494699715,0.256973279323,0.252061241855
0.19850166004,0.225938764588,0.281701934666,0.293857640707
0.232179891303,0.240724120333,0.268292192939,0.258803795426
0.149614107653,0.241304005597,0.319216087449,0.289865799301
0.214236228243,0.236423440056,0.270679452063,0.278660879638
0.0949962649504,0.298264709667,0.367466793895,0.239272231488
Mean:0.180788393171,0.221121656025,0.306072316496,0.292017634308
